order_details_id,order_id,pizza_id,quantity,orders_date,orders_time
1,1,hawaiian_m,1,1/1/2015,11:38:36 AM
2,2,classic_dlx_m,1,1/1/2015,11:57:40 AM
3,2,five_cheese_l,1,1/1/2015,11:57:40 AM
4,2,ital_supr_l,1,1/1/2015,11:57:40 AM
5,2,mexicana_m,1,1/1/2015,11:57:40 AM
6,2,thai_ckn_l,1,1/1/2015,11:57:40 AM
7,3,ital_supr_m,1,1/1/2015,12:12:28 PM
8,3,prsc_argla_l,1,1/1/2015,12:12:28 PM
9,4,ital_supr_m,1,1/1/2015,12:16:31 PM
10,5,ital_supr_m,1,1/1/2015,12:21:30 PM
11,6,bbq_ckn_s,1,1/1/2015,12:29:36 PM
12,6,the_greek_s,1,1/1/2015,12:29:36 PM
13,7,spinach_supr_s,1,1/1/2015,12:50:37 PM
14,8,spinach_supr_s,1,1/1/2015,12:51:37 PM
15,9,classic_dlx_s,1,1/1/2015,12:52:01 PM
16,9,green_garden_s,1,1/1/2015,12:52:01 PM
17,9,ital_cpcllo_l,1,1/1/2015,12:52:01 PM
18,9,ital_supr_l,1,1/1/2015,12:52:01 PM
19,9,ital_supr_s,1,1/1/2015,12:52:01 PM
20,9,mexicana_s,1,1/1/2015,12:52:01 PM
21,9,spicy_ital_l,1,1/1/2015,12:52:01 PM
22,9,spin_pesto_l,1,1/1/2015,12:52:01 PM
23,9,veggie_veg_s,1,1/1/2015,12:52:01 PM
24,10,mexicana_l,1,1/1/2015,1:00:15 PM
25,10,southw_ckn_l,1,1/1/2015,1:00:15 PM
26,11,bbq_ckn_l,1,1/1/2015,1:02:59 PM
27,11,cali_ckn_l,1,1/1/2015,1:02:59 PM
28,11,cali_ckn_m,1,1/1/2015,1:02:59 PM
29,11,pepperoni_l,1,1/1/2015,1:02:59 PM
30,12,cali_ckn_l,1,1/1/2015,1:04:41 PM
31,12,cali_ckn_s,1,1/1/2015,1:04:41 PM
32,12,ckn_pesto_l,1,1/1/2015,1:04:41 PM
33,12,ital_supr_m,1,1/1/2015,1:04:41 PM
34,13,mexicana_l,1,1/1/2015,1:11:55 PM
35,14,the_greek_s,1,1/1/2015,1:14:19 PM
36,15,big_meat_s,1,1/1/2015,1:33:00 PM
37,15,five_cheese_l,1,1/1/2015,1:33:00 PM
38,15,soppressata_l,1,1/1/2015,1:33:00 PM
39,15,the_greek_s,1,1/1/2015,1:33:00 PM
40,16,four_cheese_l,1,1/1/2015,1:34:07 PM
41,16,napolitana_s,1,1/1/2015,1:34:07 PM
42,16,thai_ckn_l,1,1/1/2015,1:34:07 PM
43,17,bbq_ckn_l,1,1/1/2015,1:53:00 PM
44,17,calabrese_m,1,1/1/2015,1:53:00 PM
45,17,five_cheese_l,1,1/1/2015,1:53:00 PM
46,17,four_cheese_m,1,1/1/2015,1:53:00 PM
47,17,ital_supr_m,1,1/1/2015,1:53:00 PM
48,17,ital_veggie_s,1,1/1/2015,1:53:00 PM
49,17,mediterraneo_m,2,1/1/2015,1:53:00 PM
50,17,mexicana_l,1,1/1/2015,1:53:00 PM
51,17,peppr_salami_s,1,1/1/2015,1:53:00 PM
52,17,spinach_fet_l,1,1/1/2015,1:53:00 PM
53,18,napolitana_l,1,1/1/2015,1:57:08 PM
54,19,ital_cpcllo_l,1,1/1/2015,1:59:09 PM
55,19,sicilian_l,1,1/1/2015,1:59:09 PM
56,20,big_meat_s,1,1/1/2015,2:03:08 PM
57,20,five_cheese_l,1,1/1/2015,2:03:08 PM
58,21,ital_cpcllo_l,1,1/1/2015,2:14:29 PM
59,22,five_cheese_l,1,1/1/2015,2:16:26 PM
60,22,ital_cpcllo_m,1,1/1/2015,2:16:26 PM
61,22,southw_ckn_l,1,1/1/2015,2:16:26 PM
62,23,southw_ckn_s,1,1/1/2015,2:19:03 PM
63,24,bbq_ckn_m,1,1/1/2015,2:23:01 PM
64,24,ital_cpcllo_m,1,1/1/2015,2:23:01 PM
65,24,pepperoni_m,1,1/1/2015,2:23:01 PM
66,24,prsc_argla_s,1,1/1/2015,2:23:01 PM
67,25,sicilian_m,1,1/1/2015,2:44:44 PM
68,25,thai_ckn_l,1,1/1/2015,2:44:44 PM
69,26,classic_dlx_s,1,1/1/2015,2:54:26 PM
70,26,veggie_veg_l,1,1/1/2015,2:54:26 PM
71,27,bbq_ckn_l,1,1/1/2015,3:11:17 PM
72,27,classic_dlx_m,1,1/1/2015,3:11:17 PM
73,27,spinach_fet_l,1,1/1/2015,3:11:17 PM
74,28,ckn_alfredo_s,1,1/1/2015,3:35:46 PM
75,29,green_garden_s,1,1/1/2015,3:41:01 PM
76,30,thai_ckn_l,1,1/1/2015,3:41:25 PM
77,31,mexicana_m,1,1/1/2015,3:50:18 PM
78,31,pepperoni_s,1,1/1/2015,3:50:18 PM
79,32,big_meat_s,1,1/1/2015,3:53:18 PM
80,32,green_garden_l,1,1/1/2015,3:53:18 PM
81,32,ital_cpcllo_l,1,1/1/2015,3:53:18 PM
82,32,ital_supr_m,1,1/1/2015,3:53:18 PM
83,33,bbq_ckn_l,1,1/1/2015,3:54:08 PM
84,33,green_garden_s,1,1/1/2015,3:54:08 PM
85,34,the_greek_s,1,1/1/2015,4:21:21 PM
86,35,green_garden_m,1,1/1/2015,4:32:04 PM
87,35,pep_msh_pep_l,1,1/1/2015,4:32:04 PM
88,35,pepperoni_m,1,1/1/2015,4:32:04 PM
89,35,thai_ckn_l,1,1/1/2015,4:32:04 PM
90,36,bbq_ckn_m,1,1/1/2015,4:54:09 PM
91,36,classic_dlx_m,1,1/1/2015,4:54:09 PM
92,37,ital_supr_l,1,1/1/2015,4:56:09 PM
93,37,mexicana_l,1,1/1/2015,4:56:09 PM
94,38,hawaiian_s,1,1/1/2015,5:03:00 PM
95,38,ital_cpcllo_l,1,1/1/2015,5:03:00 PM
96,39,ital_supr_l,1,1/1/2015,5:07:23 PM
97,40,four_cheese_l,1,1/1/2015,5:14:36 PM
98,40,southw_ckn_s,1,1/1/2015,5:14:36 PM
99,41,four_cheese_m,1,1/1/2015,5:15:20 PM
100,41,green_garden_s,1,1/1/2015,5:15:20 PM
101,42,big_meat_s,1,1/1/2015,5:28:09 PM
102,42,five_cheese_l,1,1/1/2015,5:28:09 PM
103,42,mexicana_l,1,1/1/2015,5:28:09 PM
104,42,peppr_salami_m,1,1/1/2015,5:28:09 PM
105,43,ckn_alfredo_m,1,1/1/2015,5:38:34 PM
106,43,ital_supr_m,1,1/1/2015,5:38:34 PM
107,43,peppr_salami_l,1,1/1/2015,5:38:34 PM
108,44,spin_pesto_s,1,1/1/2015,5:54:20 PM
109,45,four_cheese_l,1,1/1/2015,5:55:48 PM
110,45,hawaiian_s,1,1/1/2015,5:55:48 PM
111,45,thai_ckn_m,1,1/1/2015,5:55:48 PM
112,46,ckn_pesto_l,1,1/1/2015,6:25:51 PM
113,46,classic_dlx_l,1,1/1/2015,6:25:51 PM
114,46,thai_ckn_m,1,1/1/2015,6:25:51 PM
115,47,southw_ckn_l,1,1/1/2015,6:26:34 PM
116,47,veggie_veg_s,1,1/1/2015,6:26:34 PM
117,48,ckn_pesto_m,1,1/1/2015,6:26:42 PM
118,48,green_garden_s,1,1/1/2015,6:26:42 PM
119,48,prsc_argla_l,1,1/1/2015,6:26:42 PM
120,48,spicy_ital_l,1,1/1/2015,6:26:42 PM
121,49,sicilian_l,1,1/1/2015,6:33:00 PM
122,50,the_greek_xl,1,1/1/2015,6:41:01 PM
123,51,bbq_ckn_l,1,1/1/2015,6:48:28 PM
124,51,pep_msh_pep_l,1,1/1/2015,6:48:28 PM
125,52,hawaiian_l,1,1/1/2015,6:53:02 PM
126,52,mexicana_l,1,1/1/2015,6:53:02 PM
127,52,spicy_ital_l,1,1/1/2015,6:53:02 PM
128,53,pep_msh_pep_s,1,1/1/2015,6:54:17 PM
129,53,spinach_supr_m,1,1/1/2015,6:54:17 PM
130,54,prsc_argla_m,1,1/1/2015,7:01:45 PM
131,54,thai_ckn_l,1,1/1/2015,7:01:45 PM
132,55,peppr_salami_s,1,1/1/2015,7:03:19 PM
133,55,spicy_ital_l,1,1/1/2015,7:03:19 PM
134,56,classic_dlx_m,1,1/1/2015,7:07:00 PM
135,56,mediterraneo_l,1,1/1/2015,7:07:00 PM
136,56,southw_ckn_m,1,1/1/2015,7:07:00 PM
137,57,classic_dlx_m,1,1/1/2015,7:10:51 PM
138,58,five_cheese_l,1,1/1/2015,7:30:40 PM
139,58,pepperoni_m,1,1/1/2015,7:30:40 PM
140,59,ital_veggie_s,1,1/1/2015,7:40:08 PM
141,59,pep_msh_pep_s,1,1/1/2015,7:40:08 PM
142,59,pepperoni_l,1,1/1/2015,7:40:08 PM
143,60,ckn_pesto_l,1,1/1/2015,8:05:16 PM
144,60,four_cheese_m,1,1/1/2015,8:05:16 PM
145,61,bbq_ckn_m,1,1/1/2015,8:08:43 PM
146,61,ital_supr_l,1,1/1/2015,8:08:43 PM
147,62,bbq_ckn_m,1,1/1/2015,8:50:16 PM
148,62,spinach_supr_m,1,1/1/2015,8:50:16 PM
149,63,pep_msh_pep_m,1,1/1/2015,8:51:42 PM
150,64,big_meat_s,1,1/1/2015,8:52:08 PM
151,65,pep_msh_pep_s,1,1/1/2015,9:16:00 PM
152,65,sicilian_s,1,1/1/2015,9:16:00 PM
153,65,spicy_ital_s,1,1/1/2015,9:16:00 PM
154,65,spinach_supr_m,1,1/1/2015,9:16:00 PM
155,66,classic_dlx_m,1,1/1/2015,9:47:55 PM
156,66,ital_cpcllo_m,1,1/1/2015,9:47:55 PM
157,67,southw_ckn_l,1,1/1/2015,10:03:40 PM
158,68,classic_dlx_m,1,1/1/2015,10:07:32 PM
159,68,ital_supr_l,1,1/1/2015,10:07:32 PM
160,68,ital_supr_m,1,1/1/2015,10:07:32 PM
161,69,bbq_ckn_l,1,1/1/2015,10:12:13 PM
162,70,ital_veggie_s,1,2/1/2015,11:38:51 AM
163,70,soppressata_l,1,2/1/2015,11:38:51 AM
164,71,thai_ckn_l,1,2/1/2015,11:40:50 AM
165,72,spinach_fet_l,1,2/1/2015,11:57:25 AM
166,73,thai_ckn_s,1,2/1/2015,11:58:56 AM
167,74,five_cheese_l,1,2/1/2015,12:01:12 PM
168,74,mexicana_l,1,2/1/2015,12:01:12 PM
169,74,spin_pesto_s,1,2/1/2015,12:01:12 PM
170,74,spinach_supr_l,1,2/1/2015,12:01:12 PM
171,75,ital_supr_s,1,2/1/2015,12:10:15 PM
172,75,mediterraneo_l,1,2/1/2015,12:10:15 PM
173,75,napolitana_l,1,2/1/2015,12:10:15 PM
174,76,big_meat_s,1,2/1/2015,12:21:17 PM
175,76,hawaiian_l,1,2/1/2015,12:21:17 PM
176,76,ital_veggie_l,1,2/1/2015,12:21:17 PM
177,76,spicy_ital_l,1,2/1/2015,12:21:17 PM
178,77,bbq_ckn_m,1,2/1/2015,12:22:46 PM
179,77,hawaiian_m,1,2/1/2015,12:22:46 PM
180,78,big_meat_s,1,2/1/2015,12:28:14 PM
181,78,classic_dlx_s,1,2/1/2015,12:28:14 PM
182,78,four_cheese_l,1,2/1/2015,12:28:14 PM
183,78,ital_cpcllo_m,1,2/1/2015,12:28:14 PM
184,78,spicy_ital_l,3,2/1/2015,12:28:14 PM
185,78,thai_ckn_s,1,2/1/2015,12:28:14 PM
186,79,ital_cpcllo_l,1,2/1/2015,12:29:11 PM
